x,y,u,v
0.625,0.025,-0.011276233482784911,-0.0006323516257805851
0.65,0.025,-0.010455998948023812,-0.0007339434100914015
0.675,0.025,-0.009523388897500379,-0.0008190611511950799
0.7000000000000001,0.025,-0.008499835294073435,-0.0008845750228725356
0.7250000000000001,0.025,-0.007410406605145038,-0.0009274281011230119
0.75,0.025,-0.006283646424662466,-0.0009447312643090064
0.775,0.025,-0.005151278578735685,-0.000933890704834926
0.8,0.025,-0.004047734030871264,-0.0008927875620964448
0.8250000000000001,0.025,-0.0030094261346947453,-0.0008200505907741723
0.8500000000000001,0.025,-0.002073663504348003,-0.0007155022764013945
0.875,0.025,-0.0012770038539693849,-0.0005809507819774072
0.9,0.025,-0.0006523665535942251,-0.0004217053893698692
0.925,0.025,-0.00022423258097734663,-0.00024922603322193607
0.9500000000000001,0.025,-4.449595101079469e-06,-8.538426050497433e-05
0.9750000000000001,0.025,2.692027277782055e-05,2.5861441977967197e-05
1.0,0.025,0.0,0.0
0.0,0.05,0.0,0.0
0.025,0.05,-8.712463442781709e-05,1.3422143315500006e-05
0.05,0.05,-0.0003171680865651856,0.000321725526568367
0.07500000000000001,0.05,-0.0008756395712019035,0.0007330345139135116
0.1,0.05,-0.0017715939934295534,0.0011538486548448312
0.125,0.05,-0.002983597148971214,0.0015378485534874396
0.15000000000000002,0.05,-0.0044732067417026814,0.0018604779034473572
0.17500000000000002,0.05,-0.006188074016328985,0.0021105032516388227
0.2,0.05,-0.008069606497892566,0.0022844633640242864
0.225,0.05,-0.010057562735531283,0.002383309029311113
0.25,0.05,-0.012092739220744973,0.0024105428714338746
0.275,0.05,-0.014118738587806419,0.0023711318100465215
0.30000000000000004,0.05,-0.016083083546979834,0.002270852564668092
0.325,0.05,-0.01793788762233353,0.002115897799505086
0.35000000000000003,0.05,-0.019640242621395892,0.0019126433962452303
0.375,0.05,-0.021152428559194216,0.0016675202087501225
0.4,0.05,-0.02244202016391303,0.00138695664250865
0.42500000000000004,0.05,-0.023481943328679252,0.0010773701897897005
0.45,0.05,-0.02425051940486471,0.0007451922495196841
0.47500000000000003,0.05,-0.02473152310641404,0.0003969138410533005
0.5,0.05,-0.024914269649892653,3.9141605770282565e-05
0.525,0.05,-0.02479373779618315,-0.0003213454578089826
0.55,0.05,-0.024370727296786902,-0.0006775473271009933
0.5750000000000001,0.05,-0.023652041709048027,-0.0010222104866264357
0.6000000000000001,0.05,-0.022650680582136134,-0.0013478190673092
0.625,0.05,-0.021386018632410155,-0.0016466162182240905
0.65,0.05,-0.019883943710967928,-0.0019106615418469218
0.675,0.05,-0.018176920003456463,-0.002131929844980656
0.7000000000000001,0.05,-0.016303937653733638,-0.0023024565323902196
0.7250000000000001,0.05,-0.014310304079644948,-0.0024145365680396645
0.75,0.05,-0.012247224209610814,-0.002460988600622018
0.775,0.05,-0.010171104534903923,-0.0024355065018485545
0.8,0.05,-0.008142493337276764,-0.0023331430382646868
0.8250000000000001,0.05,-0.006224524612132065,-0.0021510136066437762
0.8500000000000001,0.05,-0.004480690283945833,-0.0018893823875775714
0.875,0.05,-0.0029717161409987623,-0.001553463149632026
0.9,0.05,-0.0017506113048548948,-0.001156654793523007
0.925,0.05,-0.0008548180315540995,-0.0007258960650792591
0.9500000000000001,0.05,-0.00030287249274216324,-0.0003098513182622053
0.9750000000000001,0.05,-8.060136314653545e-05,-3.867242505225369e-06
1.0,0.05,0.0,0.0
0.0,0.07500000000000001,0.0,0.0
0.025,0.07500000000000001,-0.00024823415776825734,0.00023387427013018126
0.05,0.07500000000000001,-0.0007280034988950936,0.0008786528457498427
0.07500000000000001,0.07500000000000001,-0.0016724334265114111,0.0016718545330315637
0.1,0.07500000000000001,-0.003058235989101545,0.0024718900911275122
0.125,0.07500000000000001,-0.004849954860712938,0.0032015856514518537
0.15000000000000002,0.07500000000000001,-0.0069975398801270135,0.003816763193716308
0.17500000000000002,0.07500000000000001,-0.009433620518221027,0.00429509382220454
0.2,0.07500000000000001,-0.012082470117734227,0.004628070345441941
0.225,0.07500000000000001,-0.014865420611873223,0.0048157139831614595
0.25,0.07500000000000001,-0.017704267246709832,0.004863359348765218
